name,tipo,latitude,longitude,cep
Sem nome,kiosk,-22.9435095,-43.1599095,Sem CEP
Sem nome,bakery,-20.6629484,-40.4993119,Sem CEP
BR Mania,kiosk,-20.6639760,-40.4997992,Sem CEP
Itaú,bank,-19.9328532,-43.9589702,Sem CEP
Rede Economia,supermarket,-22.8072414,-42.9871516,Sem CEP
Zona Sul,supermarket,-22.9984077,-43.2680382,Sem CEP
Sem nome,convenience,-22.9931800,-43.2557532,Sem CEP
Cicle Calle,bicycle,-22.9867153,-43.1905681,Sem CEP
3 Shop,bicycle,-22.9863049,-43.1890382,22070-900
Sem nome,florist,-22.9874480,-43.1923724,Sem CEP
Mercado 4 Irmãos,supermarket,-28.0151201,-49.5934936,Sem CEP
Sem nome,kiosk,-22.9537693,-43.1693243,Sem CEP
Sem nome,florist,-22.9539240,-43.1696601,Sem CEP
Sem nome,kiosk,-22.9512799,-43.1755987,Sem CEP
Casa Nicão,hardware,-22.9509190,-43.1760380,22290-190
Sem nome,kiosk,-22.9489507,-43.1825758,Sem CEP
Sem nome,kiosk,-22.9514636,-43.1828049,Sem CEP
Sem nome,kiosk,-22.9480421,-43.1824866,Sem CEP
Bradesco,bank,-22.9485608,-43.1826517,Sem CEP
Amaro,hairdresser,-22.9515016,-43.1830056,Sem CEP
Sem nome,garden_centre,-22.9489580,-43.1824698,Sem CEP
Utili Casa,hardware,-22.9488824,-43.1826327,Sem CEP
Monteriu's,car,-22.9470341,-43.1857025,Sem CEP
Anne,optician,-22.9508399,-43.1824009,Sem CEP
Hiper Visão,optician,-22.9511496,-43.1832428,Sem CEP
Sem nome,kiosk,-22.9511348,-43.1833540,Sem CEP
Sem nome,kiosk,-22.9507426,-43.1823401,Sem CEP
Ponto Baby,clothes,-22.9508583,-43.1824585,Sem CEP
MERCADINHO CHICO CHAGAS,supermarket,-3.7358394,-39.5483583,Sem CEP
Lavanderia Cantuária,laundry,-22.9509245,-43.1760924,22290-190
Claro,mobile_phone,-22.9522198,-43.1862113,Sem CEP
Jandaia,laundry,-22.9515882,-43.1846861,Sem CEP
Posto 4 Ilhas,convenience,-27.1588096,-48.5677094,Sem CEP
Padaria Nova Viriato,bakery,-22.9270747,-43.1794022,22221-011
Help Coiffeur,hairdresser,-22.9262412,-43.1791211,Sem CEP
Banco do Brasil,bank,-14.7990690,-39.0343276,Sem CEP
Catete 228,mall,-22.9282463,-43.1777778,Sem CEP
Sem nome,garden_centre,-22.9353253,-43.1887966,Sem CEP
Digital Service,stationery,-22.8947855,-43.1195784,Sem CEP
Multimarca,clothes,-22.8942778,-43.1200678,Sem CEP
Carimbos,stationery,-22.8942665,-43.1201446,Sem CEP
Colchões Ortobom,furniture,-22.8942445,-43.1204984,Sem CEP
Sem nome,clothes,-22.8942483,-43.1204266,Sem CEP
Fashion Mix,clothes,-22.8942331,-43.1207141,Sem CEP
Sola e Meia,shoes,-22.8942407,-43.1205704,Sem CEP
Vanitar,clothes,-22.8942289,-43.1207921,Sem CEP
Moda Útil,clothes,-22.8941884,-43.1212778,Sem CEP
Work Paper,stationery,-22.8942182,-43.1208574,Sem CEP
Mitt,clothes,-22.8942110,-43.1209365,Sem CEP
Ponto Frio,electronics,-22.8941751,-43.1214464,Sem CEP
Lojas Empório,clothes,-22.8941352,-43.1219521,24020082
"Mercadão de 1,99",convenience,-22.8941485,-43.1217835,Sem CEP
BV Financeira,money_lender,-22.8941153,-43.1222050,Sem CEP
Luciu's,clothes,-22.8941286,-43.1220364,Sem CEP
Kaufmann,clothes,-22.8939734,-43.1231552,Sem CEP
Pão & Companhia,bakery,-22.9334367,-43.1843305,22240-000
Star & Beleza,hairdresser,-22.9326791,-43.1826960,Sem CEP
Dom Bosco 0km,car,-22.9326631,-43.1827744,Sem CEP
Bazar Laranjeiras,hardware,-22.9328456,-43.1833641,Sem CEP
O Expresso,shoes,-22.9322086,-43.1814085,Sem CEP
Ortobom,bed,-22.9322310,-43.1813319,Sem CEP
Petzilla,pet,-22.9322215,-43.1813045,Sem CEP
Toontown Video & Games,video,-22.9318682,-43.1801204,Sem CEP
Casa do Biscoito,supermarket,-22.9317980,-43.1800932,Sem CEP
Cantinho de Laranjeiras,religion,-22.9318380,-43.1802130,Sem CEP
Casa de Carnes Alentejo,butcher,-22.9317043,-43.1799449,Sem CEP
Sonho dos Pés,shoes,-22.9313680,-43.1789032,Sem CEP
Ótica Machado,optician,-22.9315059,-43.1793026,Sem CEP
Stivali,yes,-22.9313020,-43.1786523,Sem CEP
Drop's,clothes,-22.9313309,-43.1787352,Sem CEP
Sem nome,kiosk,-22.9312565,-43.1775037,22220-060
Kodak Express,photo,-22.9311691,-43.1782396,Sem CEP
Sem nome,newsagent,-22.9300260,-43.1775294,Sem CEP
Sem nome,garden_centre,-22.9290433,-43.1772010,Sem CEP
Cariocão,supermarket,-22.9291332,-43.1768814,Sem CEP
objetiva,yes,-22.9285628,-43.1770262,22220-000
American PET,pet,-22.9280860,-43.1767609,22220-000
Sem nome,kiosk,-22.9282004,-43.1769284,Sem CEP
Sem nome,kiosk,-22.9274048,-43.1766979,Sem CEP
Sem nome,garden_centre,-22.9255111,-43.1764195,Sem CEP
Sem nome,furniture,-22.9250309,-43.1765634,22220-000
Able Car,car_repair,-22.9248850,-43.1766079,22220-000
Hortifruti Sol & Mar,greengrocer,-22.9237841,-43.1778269,22211-200
D'Marca,furniture,-22.9238307,-43.1779005,22211-200
Giva's Coiffeur,hairdresser,-22.9238809,-43.1779895,22211-200
Salas Bikes,bicycle,-22.9240914,-43.1784138,22211-200
Luar,laundry,-22.9240495,-43.1783498,22211-200
Tora Esquadrias de Alumínio,furniture,-22.9239850,-43.1782189,22211-200
Salão York,hairdresser,-22.9269981,-43.1768205,22220-000
Confeitaria Santo Amaro,bakery,-22.9218591,-43.1771536,22220-000
Sem nome,kiosk,-22.9216507,-43.1771107,Sem CEP
Casas Marajó,doityourself,-22.9220653,-43.1772405,22220-000
Banco BMG,bank,-22.9222325,-43.1772697,Sem CEP
Dukiko,hairdresser,-22.9223998,-43.1772990,Sem CEP
Palácio das Lonas,furniture,-22.9224834,-43.1773136,Sem CEP
Renovare,furniture,-22.9226924,-43.1773501,Sem CEP
KRM Ferragens,hardware,-22.9227761,-43.1773647,Sem CEP
Italinea,furniture,-22.9228597,-43.1773793,Sem CEP
Espaço Ideal,furniture,-22.9229433,-43.1773940,Sem CEP
MLE,furniture,-22.9230269,-43.1774086,Sem CEP
MB Requinte,furniture,-22.9230687,-43.1774159,Sem CEP
Sem nome,supermarket,-22.9231105,-43.1774232,Sem CEP
Rodopiano,furniture,-22.9231941,-43.1774378,Sem CEP
Loteria,lottery,-22.9232360,-43.1774451,Sem CEP
Modulus,furniture,-22.9232778,-43.1774524,Sem CEP
Sem nome,furniture,-22.9233196,-43.1774597,Sem CEP
Leandra Coiffeur,hairdresser,-22.9234270,-43.1774730,Sem CEP
Banca Graciosa,books,-23.4924177,-46.8501631,Sem CEP
Natally,supermarket,-29.6797786,-51.4573006,Sem CEP
Supermercado Mombach,supermarket,-29.6837318,-51.4623598,Sem CEP
Banestes,bank,-20.6400627,-40.4819409,Sem CEP
Sem nome,bakery,-19.8274692,-40.2784083,Sem CEP
Oriundi,supermarket,-19.8245220,-40.2687953,Sem CEP
Banco do Brasil,bank,-1.4499071,-48.4661361,Sem CEP
Bradesco,bank,-23.5452018,-46.6503888,01222-020
Bradesco,bank,-19.9219119,-44.0590891,Sem CEP
Carrefour,supermarket,-23.5012252,-46.8354599,Sem CEP
Só Fofas,clothes,-22.9025122,-43.1107292,24220-031
Ate e Arremate,Armarinho,-22.9024857,-43.1108367,24220-031
estação da casa,furniture,-22.9029798,-43.1079945,Sem CEP
Tinturaria Brasileira,laundry,-22.9005051,-43.1048329,24220-071
Rei do Som,electronics,-22.9003823,-43.1046177,24220-330
Tio Walter,pet_grooming,-22.9020037,-43.1031332,24220-090
Desco Super & Atacado,supermarket,-29.1728934,-51.5127826,Sem CEP
Super Apolo,supermarket,-29.1713288,-51.5120619,Sem CEP
Nordene - espaço de estética e beleza,hairdresser,-22.9022361,-43.1088989,Sem CEP
Colchões Ortobom,furniture,-22.9020222,-43.1086587,Sem CEP
Romero's Distribuidora de Bebidas,alcohol,-22.9019509,-43.1085813,Sem CEP
Paquetá,shoes,-22.9287879,-43.1773445,Sem CEP
Padaria Catete,bakery,-22.9287361,-43.1773281,Sem CEP
Stylus,clothes,-22.9286843,-43.1773116,Sem CEP
Mercatto,clothes,-22.9286325,-43.1772952,Sem CEP
Pontapé,shoes,-22.9285808,-43.1772787,Sem CEP
Tuninha,clothes,-22.9285290,-43.1772622,Sem CEP
Cravo e Canela,clothes,-22.9284772,-43.1772458,Sem CEP
D'Artagnan,clothes,-22.9284254,-43.1772293,Sem CEP
Losan,shoes,-22.9283319,-43.1772016,Sem CEP
Péd'art,shoes,-22.9282801,-43.1771851,Sem CEP
Bradesco,bank,-22.9282283,-43.1771687,22220-000
Rustin's,shoes,-22.9281248,-43.1771357,Sem CEP
Mundo Verde,supermarket,-22.9280212,-43.1771028,Sem CEP
Johnmark,clothes,-22.9279177,-43.1770699,Sem CEP
Banco Santander,bank,-22.9276191,-43.1770239,Sem CEP
Sem nome,kiosk,-22.9277164,-43.1769505,Sem CEP
Itaú,bank,-22.9273704,-43.1768969,Sem CEP
Tem Tudo,houseware,-22.9268177,-43.1767865,Sem CEP
Sai de Baixo,clothes,-22.9266549,-43.1767785,22220-000
Shopping Rio Verde,mall,-17.7896616,-50.9199802,75903-290
Sem nome,supermarket,-30.8504048,-51.8148438,Sem CEP
Supermercado Roxo,supermarket,-30.8533686,-51.8057477,96180-000
Nacional Supermercados,supermarket,-30.8537386,-51.8051546,Sem CEP
Banco do Brasil,bank,-30.8524611,-51.8080197,96180-000
Banrisul,bank,-30.8519983,-51.8145863,Sem CEP
Italínea,furniture,-22.9061470,-43.1132647,24220-045
Bom pra Cachorro,pet,-22.9058249,-43.1128901,24220-045
Predi Icaraí Imóveis,estate_agent,-22.9060160,-43.1131199,24220-045
Supermercado Super Nosso,supermarket,-19.9382174,-44.0451717,Sem CEP
Bradesco,bank,-30.8529351,-51.8121979,Sem CEP
Rota 101,convenience,-19.8161704,-40.3678438,Sem CEP
Caixa Econômica Federal,bank,-23.5440772,-46.5632701,Sem CEP
Goodyear Express,car_parts,-22.9274033,-43.1793906,Sem CEP
Real,car,-22.9612265,-43.1759532,Sem CEP
Ciclovia Zona Sul,bicycle,-22.9622393,-43.1754878,Sem CEP
Ortobom,bed,-22.9636092,-43.1777369,22011-001
Sem nome,convenience,-30.0501050,-51.1868061,Sem CEP
MercaDez,supermarket,-22.9202813,-43.1769992,Sem CEP
Sem nome,kiosk,-22.9201429,-43.1770220,Sem CEP
Sinrau,shoes,-22.9196071,-43.1771073,Sem CEP
Super Nosso,supermarket,-19.9337156,-43.9566287,Sem CEP
Horiginal Modelismo,hobby;*,-23.5404151,-46.6511328,Sem CEP
Sem nome,supermarket,-30.8524316,-51.8119008,Sem CEP
Sem nome,pet,-23.5452554,-46.5608587,Sem CEP
Speed Fly Modelismo,toys,-23.5465065,-46.5646782,Sem CEP
Bradesco,bank,-23.5536036,-46.5635710,Sem CEP
Carrefour,supermarket,-19.8911283,-43.9677282,Sem CEP
Sem nome,kiosk,-22.9337160,-43.1863843,Sem CEP
Classic Line,hardware,-22.9329021,-43.1844926,Sem CEP
Pet Studio,pet,-22.9328993,-43.1844184,Sem CEP
Caixa Econômica Federal,bank,-19.9343699,-43.9591498,30441-021
Sem nome,convenience,-27.5727134,-54.6699718,Sem CEP
Marin,convenience,-27.6551066,-54.5878911,Sem CEP
Eletrônica Parobé,general,-29.7296823,-51.1527066,93120-620
Hipermercado Zaffari,supermarket,-23.5270296,-46.6806689,Sem CEP
Itaú,bank,-22.9426075,-43.1813947,Sem CEP
Volvo Vocal,car,-23.5072782,-46.7036196,Sem CEP
Itaú,bank,-23.4982609,-46.8544976,Sem CEP
CNI Papelaria,stationery,-19.8299780,-40.3680820,Sem CEP
Mercado Central de Contagem,mall,-19.9516979,-44.0386748,Sem CEP
Zona Sul,supermarket,-22.9757380,-43.1901319,Sem CEP
Itaú,bank,-19.9552831,-44.0264385,Sem CEP
Roma,car,-19.9593572,-44.0283751,Sem CEP
Reauto,car,-19.9546326,-44.0265512,Sem CEP
Santander,bank,-19.9531955,-44.0186816,Sem CEP
