MUNICIPIO,sigla_uf,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Total,longitude,latitude
ACRELANDIA,AC,1441.0,1426.0,1328.0,1388.0,2996.0,2306.0,2014.0,1411.0,808.0,444.0,159.0,15721.0,-66.950469149436,-9.9336830989161
ASSIS BRASIL,AC,856.0,822.0,804.0,757.0,1314.0,1065.0,890.0,563.0,339.0,164.0,75.0,7649.0,-70.0056681642279,-10.7791785293932
BRASILEIA,PI,2272.0,2353.0,2436.0,2564.0,4955.0,4221.0,3464.0,2368.0,1378.0,761.0,351.0,27123.0,-41.6361405982335,-4.12094472970684
BUJARI,AC,972.0,958.0,906.0,961.0,1930.0,1482.0,1358.0,916.0,661.0,323.0,105.0,10572.0,-68.1737124889931,-9.61401746743005
CAPIXABA,AC,1199.0,1154.0,1035.0,1167.0,2429.0,1550.0,1418.0,1142.0,690.0,367.0,129.0,12280.0,-67.8359841163927,-10.4735772096534
CRUZEIRO DO SUL,AC,8752.0,8877.0,9119.0,9399.0,16480.0,13703.0,10385.0,6068.0,3750.0,2169.0,1058.0,89760.0,-72.7545968070733,-7.97205635141523
CRUZEIRO DO SUL,PR,8752.0,8877.0,9119.0,9399.0,16480.0,13703.0,10385.0,6068.0,3750.0,2169.0,1058.0,89760.0,-52.1625781715858,-22.9880030786436
CRUZEIRO DO SUL,RS,8752.0,8877.0,9119.0,9399.0,16480.0,13703.0,10385.0,6068.0,3750.0,2169.0,1058.0,89760.0,-52.033516959376,-29.5408101605215
EPITACIOLANDIA,AC,1588.0,1645.0,1731.0,1851.0,3507.0,2815.0,2336.0,1710.0,999.0,543.0,254.0,18979.0,-68.6182169062763,-10.8888972994471
FEIJO,AC,4137.0,4153.0,4028.0,3925.0,6319.0,4521.0,3344.0,2293.0,1247.0,721.0,298.0,34986.0,-70.7432054703018,-8.92425044597189
JORDAO,AC,1435.0,1240.0,1094.0,1044.0,1615.0,1053.0,661.0,274.0,132.0,51.0,29.0,8628.0,-71.9059134572055,-9.24243862830734
MANCIO LIMA,AC,2205.0,2169.0,2030.0,1917.0,3514.0,2885.0,2108.0,1275.0,836.0,485.0,219.0,19643.0,-73.4391121691622,-7.50461325188175
MANOEL URBANO,AC,1125.0,1075.0,1001.0,986.0,1766.0,1421.0,1079.0,613.0,360.0,179.0,96.0,9701.0,-69.8524787413071,-9.38048507972289
MARECHAL THAUMATURGO,AC,2895.0,2705.0,2498.0,2428.0,3729.0,2378.0,1535.0,828.0,424.0,216.0,91.0,19727.0,-72.5592669523412,-9.09595539332993
PLACIDO DE CASTRO,AC,1833.0,1901.0,1847.0,1846.0,3405.0,2747.0,2429.0,2007.0,1234.0,624.0,274.0,20147.0,-67.3397775561346,-10.2488741336924
PORTO WALTER,AC,1997.0,1857.0,1569.0,1398.0,2196.0,1493.0,1022.0,537.0,252.0,121.0,55.0,12497.0,-72.7334268146897,-8.49177124514262
RIO BRANCO,AC,31183.0,33226.0,37940.0,42074.0,78364.0,68687.0,54954.0,36174.0,21933.0,10385.0,4532.0,419452.0,-68.3707905960881,-10.0661899239845
RIO BRANCO,MT,31183.0,33226.0,37940.0,42074.0,78364.0,68687.0,54954.0,36174.0,21933.0,10385.0,4532.0,419452.0,-58.1538494799743,-15.2702624891896
RODRIGUES ALVES,AC,2560.0,2367.0,2136.0,2246.0,3695.0,2620.0,2066.0,1110.0,552.0,304.0,111.0,19767.0,-73.2232781313195,-7.84382971523688
SANTA ROSA DO PURUS,AC,1119.0,898.0,777.0,830.0,1324.0,909.0,511.0,349.0,120.0,45.0,11.0,6893.0,-70.3953502107532,-9.41027910195265
SENADOR GUIOMARD,AC,2056.0,2093.0,2100.0,2219.0,4070.0,3427.0,2976.0,2048.0,1414.0,718.0,325.0,23446.0,-67.4268386044995,-9.99696795711527
SENA MADUREIRA,AC,4508.0,4455.0,4574.0,4913.0,8902.0,7622.0,5491.0,3220.0,1915.0,1070.0,498.0,47168.0,-69.3806424881647,-9.77097384070342
TARAUACA,AC,5573.0,5425.0,5230.0,4892.0,7827.0,5576.0,3907.0,2563.0,1456.0,864.0,417.0,43730.0,-71.4448908256194,-8.23956229089415
XAPURI,AC,1778.0,1797.0,1781.0,1903.0,3728.0,2968.0,2365.0,1676.0,1028.0,578.0,264.0,19866.0,-68.5050105445443,-10.5754368052767
PORTO ACRE,AC,1730.0,1747.0,1654.0,1792.0,3506.0,2596.0,2281.0,1723.0,1101.0,709.0,302.0,19141.0,-67.6985630764723,-9.62954080664936
ALVARAES,AM,2416.0,2197.0,1876.0,1676.0,2905.0,2074.0,1488.0,929.0,478.0,253.0,104.0,16396.0,-65.3307295922937,-3.70113860395774
AMATURA,AM,1486.0,1441.0,1302.0,1080.0,2332.0,1768.0,1229.0,708.0,356.0,165.0,67.0,11934.0,-68.2873558965602,-3.41820670092432
ANAMA,AM,1600.0,1521.0,1332.0,1321.0,2821.0,2231.0,1655.0,951.0,484.0,250.0,126.0,14292.0,-61.7169648418011,-3.50227800432551
ANORI,AM,2525.0,2507.0,2240.0,1984.0,4284.0,3454.0,2393.0,1321.0,690.0,357.0,182.0,21937.0,-62.0724570774004,-4.18636201707369
APUI,AC,1874.0,1817.0,1679.0,1847.0,4744.0,4158.0,2913.0,1949.0,1155.0,476.0,127.0,22739.0,-68.5050105445443,-10.5754368052767
ATALAIA DO NORTE,AM,2623.0,2465.0,2324.0,2110.0,4214.0,3237.0,1852.0,1076.0,561.0,283.0,123.0,20868.0,-71.7416329964923,-5.71150565336012
AUTAZES,AM,4877.0,4757.0,4081.0,3545.0,7171.0,5481.0,4361.0,3317.0,1912.0,1026.0,477.0,41005.0,-59.528732890604,-3.78900624727662
BARCELOS,AM,2432.0,2583.0,2515.0,2637.0,6090.0,4295.0,2834.0,2243.0,1397.0,568.0,178.0,27772.0,-63.4346621168879,-0.465164565842928
BARREIRINHA,AM,4584.0,4352.0,3549.0,3045.0,5940.0,4072.0,2988.0,2073.0,1275.0,667.0,374.0,32919.0,-57.1724856305918,-3.129038240934
BENJAMIN CONSTANT,AM,5851.0,5837.0,5558.0,4500.0,7827.0,6045.0,3938.0,2706.0,1467.0,760.0,384.0,44873.0,-70.2775354061108,-5.42858340174636
BERURI,AM,2913.0,2697.0,2266.0,2001.0,3452.0,2607.0,1867.0,1364.0,777.0,381.0,178.0,20503.0,-61.7871703380139,-4.60344551618561
BOA VISTA DO RAMOS,AM,2422.0,2397.0,2067.0,1948.0,3933.0,2692.0,1985.0,1309.0,765.0,350.0,172.0,20040.0,-57.6701007671573,-3.13808300317598
