,nome_instituicao,nome_agencia,endereco,numero,complemento,bairro,cep,municipio,municipio_ibge
8609,TROCKA CORRETORA DE CAMBIO LTDA.                                                                                                                                                                        ,MATRIZ                                                      ,RUA MEXICO                              ,          ,"BLOCO B, CONJUNTO 1801                            ",CENTRO                        ,00200-311,RIO DE JANEIRO                                              ,3304557.0
8610,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,MATRIZ (BOTAFOGO)                                           ,"PRAIA DE BOTAFOGO, N.º 501 - 5º/6º ANDAR",          ,"TORRE CORCOVADO, BOTAFOGO                         ",BOTAFOGO                      ,22250-040,RIO DE JANEIRO                                              ,3304557.0
8611,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,SAO PAULO                                                   ,AV. BRIGADEIRO FARIA LIMA               ,3477,"10º, 11º, 12º, 14º E 15º ANDARES                  ",ITAIM BIBI                    ,04538-133,SAO PAULO                                                   ,3550308.0
8612,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,BELO HORIZONTE                                              ,AV. AFONSO PENA                         ,4100,14° ANDAR                                         ,CRUZEIRO                      ,30130-009,BELO HORIZONTE                                              ,3106200.0
8613,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,RECIFE                                                      ,AVENIDA ENGENHEIRO ANTÔNIO DE GÓES      ,60,                                                  ,PINA                          ,51010-000,RECIFE                                                      ,2611606.0
8614,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,PORTO ALEGRE                                                ,AVENIDA CARLOS GOMES                    ,700,CONJUNTO 1601                                     ,BOA VISTA                     ,90480-000,PORTO ALEGRE                                                ,4314902.0
8615,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,CURITIBA                                                    ,RUA DA GLORIA                           ,251,"3 ANDAR, SALA 304                                 ",CENTRO CIVICO                 ,80030-060,CURITIBA                                                    ,4106902.0
8616,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,SÃO PAULO                                                   ,AV. BRIGADEIRO FARIA LIMA               ,3477,9º ANDAR                                          ,ITAIM BIBI                    ,00000-000,SAO PAULO                                                   ,3550308.0
8617,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,ALIPAY                                                      ,AVENIDA BRIGADEIRO FARIA LIMA           ,3477,12º ANDAR                                         ,ITAIM BIBI                    ,04538-133,SAO PAULO                                                   ,3550308.0
8618,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,ZOOP                                                        ,AVENIDA BRIGADEIRO FARIA LIMA           ,3477,12º ANDAR                                         ,ITAIM BIBI                    ,01425-010,SAO PAULO                                                   ,3550308.0
8619,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,BAAS                                                        ,AVENIDA BRIGADEIRO FARIA LIMA           ,3477,12º ANDAR                                         ,ITAIM BIBI                    ,01425-010,SAO PAULO                                                   ,3550308.0
8620,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,NVIO BRASIL SERVIÇOS DE PAGAMENTOS LTDA                     ,AV. BRIGADEIRO FARIA LIMA               ,3477,                                                  ,                              ,00000-000,SAO PAULO                                                   ,3550308.0
8621,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,AQUICARD                                                    ,AV. BRIGADEIRO FARIA LIMA               ,3477,                                                  ,                              ,00000-000,SAO PAULO                                                   ,3550308.0
8622,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,GEMINI                                                      ,AV. BRIGADEIRO FARIA LIMA               ,3477,                                                  ,                              ,00000-000,SAO PAULO                                                   ,3550308.0
8623,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,BTG+ BUSINESS                                               ,AVENIDA BRIGADEIRO FARIA LIMA           ,3477,                                                  ,                              ,04538-133,SAO PAULO                                                   ,3550308.0
8624,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,BANCO BTG PACTUAL S.A. ZOOM                                 ,AV BRIG FARIA LIMA                      ,3477,ANDAR 14 SALA 133                                 ,                              ,00000-000,SAO PAULO                                                   ,3550308.0
8625,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,BANCO BTG PACTUAL S.A. AGENCIA BUSCAPE                      ,AV BRIG FARIA LIMA                      ,3477,ANDAR 14 SALA 134                                 ,                              ,00000-000,SAO PAULO                                                   ,3550308.0
8626,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,CAMPO GRANDE                                                ,RUA DOS VENDAS                          ,618,                                                  ,VILA ANTONIO VENDAS           ,79003-040,CAMPO GRANDE                                                ,5002704.0
8627,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,ARTON                                                       ,AV. BRIGADEIRO FARIA LIMA               ,3477,SALA 101 E 106                                    ,ITAIM BIBI                    ,04538-133,SAO PAULO                                                   ,3550308.0
8628,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,FARIA LIMA                                                  ,AVENIDA BRIGADEIRO FARIA LIMA           ,3064,"ANDAR 1, 2, 3 E 4                                 ",                              ,01451-000,SAO PAULO                                                   ,3550308.0
8629,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,FORTALEZA                                                   ,AV DESEMBARGADOR MOREIRA                ,1300,SALAS 1116 117 1118 1119 1120 1121 TORRE SUL      ,                              ,60170-002,FORTALEZA                                                   ,2304400.0
8630,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,AGÊNCIA - RIBEIRÃO PRETO                                    ,RUA PASCOAL BARDARO                     ,1075,                                                  ,                              ,00000-000,RIBEIRAO PRETO                                              ,3543402.0
8631,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,AGÊNCIA -  SALVADOR                                         ,RUA EWERTON VISCO                       ,290,                                                  ,                              ,41820-022,SALVADOR                                                    ,2927408.0
8632,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,ITAJAÍ                                                      ,RUA PEDRO FERREIRA                      ,333,SALA 1002 GARAGE362 A 362 D E 363 DUPLA           ,CENTRO                        ,88301-030,ITAJAI                                                      ,4208203.0
8633,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,BRASÍLIA                                                    ,Q SCS QUADRA 9                          ,          ,EDIF PQ CIDADE CORPORATE SALA 1202 BLOCO A        ,ASA SUL                       ,70308-200,BRASILIA                                                    ,5300108.0
8634,BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ,AGENCIA LEBLON                                              ,AV BORGES DE MEDEIROS                   ,633,AND 5 SALA 503 E 504                              ,                              ,22430-041,RIO DE JANEIRO                                              ,3304557.0
8635,"NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO                                                                                                                                 ",MATRIZ                                                      ,"RUA CAPOTE VALENTE, 120                 ",          ,                                                  ,PINHEIROS                     ,05409-000,SAO PAULO                                                   ,3550308.0
8636,BANCO MODAL S.A.                                                                                                                                                                                        ,MATRIZ                                                      ,PRAIA DE BOTAFOGO                       ,          ,Nº 501 - BLOCO 01 - SALÃO 501 - PARTE             ,BOTAFOGO                      ,22250-040,RIO DE JANEIRO                                              ,3304557.0
8637,BANCO MODAL S.A.                                                                                                                                                                                        ,SAO PAULO                                                   ,AV. PRESIDENTE JUSCELINO KUBITSCHEK     ,1455,3º ANDAR                                          ,ITAIM BIBI                    ,04543-011,SAO PAULO                                                   ,3550308.0
8638,BB GESTÃO DE RECURSOS - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                                                                                                                             ,MATRIZ                                                      ,"PRAÇA XV DE NOVEMBRO, 20 - 2º E 3º ANDAR",          ,"SALAS 201, 202, 301 E 302 - ED. BOLSA DO RIO      ",CENTRO                        ,20010-010,RIO DE JANEIRO                                              ,3304557.0
8639,BB GESTÃO DE RECURSOS - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                                                                                                                             ,AGÊNCIA NA CIDADE DE SÃO PAULO (SP                          ,AV. PAULISTA                            ,1230,10- ANDAR - ED SEDE BB SÃO PAULO - TORRE MATARAZZO,BELA VISTA                    ,01310-901,SAO PAULO                                                   ,3550308.0
8640,BB-LEASING S/A ARRENDAMENTO MERCANTIL                                                                                                                                                                   ,MATRIZ                                                      ,"SBS - QUADRA 01, BLOCO C, LOTE 32       ",          ,6º ANDAR                                          ,ASA SUL                       ,70070-100,BRASILIA                                                    ,5300108.0
8641,BANCO CLASSICO S.A.                                                                                                                                                                                     ,MATRIZ                                                      ,"AV. PRESIDENTE VARGAS, 463 - 13 ANDAR   ",          ,                                                  ,CENTRO                        ,20071-003,RIO DE JANEIRO                                              ,3304557.0
8642,IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                                                                                                                                                   ,MATRIZ                                                      ,"AV. BRIGADEIRO FARIA LIMA, 4221, 6º ANDA",          ,R  CONJUNTO 62                                    ,ITAIM BIBI                    ,04538-133,SAO PAULO                                                   ,3550308.0
8643,BANCO C6 S.A.                                                                                                                                                                                           ,MATRIZ                                                      ,"AVENIDA NOVE DE JULHO, 3186             ",          ,                                                  ,JARDIM PAULISTA               ,01406-000,SAO PAULO                                                   ,3550308.0
8644,BANCO GUANABARA S.A.                                                                                                                                                                                    ,MATRIZ                                                      ,"AV. BRASIL, 8255                        ",          ,                                                  ,RAMOS                         ,21030-000,RIO DE JANEIRO                                              ,3304557.0
8645,BANCO GUANABARA S.A.                                                                                                                                                                                    ,BANCO GUANABARA S/A                                         ,AVENIDA AGUANAMBI                       ,2269,SALA 01                                           ,FATIMA                        ,60415-390,FORTALEZA                                                   ,2304400.0
8646,BANCO INDUSTRIAL DO BRASIL S.A.                                                                                                                                                                         ,MATRIZ                                                      ,"AV. PRES. JUSCELINO KUBITSCHEK, 1703    ",          ,                                                  ,VILA NOVA CONCEIÇÃO           ,04543-901,SAO PAULO                                                   ,3550308.0
8647,BANCO INDUSTRIAL DO BRASIL S.A.                                                                                                                                                                         ,RIO DE JANEIRO                                              ,"AV. RIO BRANCO,  Nº 01                  ",          ,SALA 1602-16º PAV.ED.CENTRO EMPR.INT.RIO          ,CENTRO                        ,20090-003,RIO DE JANEIRO                                              ,3304557.0
8648,BANCO INDUSTRIAL DO BRASIL S.A.                                                                                                                                                                         ,CAMPINAS                                                    ,"AV.SELMA PARADA,Nº 201                  ",          ,ED.2º-SALA 211-C.GALLERIA O.PARK                  ,JARDIM MADALENA               ,13091-904,CAMPINAS                                                    ,3509502.0
8649,BANCO INDUSTRIAL DO BRASIL S.A.                                                                                                                                                                         ,CURITIBA                                                    ,RUA COMENDADOR ARAÚJO                   ,565,CONJUNTO 801 - 8- ANDAR - COND. AUGUSTO PROLIK CEN,CENTRO                        ,80420-908,CURITIBA                                                    ,4106902.0
8650,BANCO INDUSTRIAL DO BRASIL S.A.                                                                                                                                                                         ,SALVADOR                                                    ,"AV. TANCREDO NEVES, Nº 1632             ",          ,SALA 1302 -TORRE NORTE                            ,CAMINHO DAS ÁRVORES           ,41820-020,SALVADOR                                                    ,2927408.0
8651,BANCO INDUSTRIAL DO BRASIL S.A.                                                                                                                                                                         ,MACAPÁ                                                      ,"RUA ELIEZER LEVY, Nº 2587               ",          ,                                                  ,TREM                          ,68901-016,MACAPA                                                      ,1600303.0
8652,BANCO INDUSTRIAL DO BRASIL S.A.                                                                                                                                                                         ,GOIÂNIA-GO                                                  ,RUA JOÃO DE ABREU                       ,1155,"QUADRA F8, LOTE 24E, SALAS A73 E A74, 7- PAVIMENTO",SETOR OESTE                   ,74120-110,GOIANIA                                                     ,5208707.0
8653,BANCO INDUSTRIAL DO BRASIL S.A.                                                                                                                                                                         ,MANAUS-AM                                                   ,AVENIDA CONSTANTINO NERY                ,2776,SALA 1309                                         ,CHAPADA                       ,69050-001,MANAUS                                                      ,1302603.0
8654,BANCO INDUSTRIAL DO BRASIL S.A.                                                                                                                                                                         ,AGENCIA BELO HORIZONTE - MG                                 ,AVENIDA GETULIO VARGAS                  ,15,SALA 901                                          ,FUNCIONARIOS                  ,30112-020,BELO HORIZONTE                                              ,3106200.0
8655,BANCO CREDIT SUISSE (BRASIL) S.A.                                                                                                                                                                       ,SAO PAULO                                                   ,RUA LEOPOLDO COUTO DE MAGALHÃES JR.     ,700,10º ANDAR (PARTE) E 12º A 14º ANDARES (PARTES)    ,ITAIM BIBI                    ,04542-000,SAO PAULO                                                   ,3550308.0
8656,SUL AMERICA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.                                                                                                                           ,MATRIZ                                                      ,"RUA PEDRO AVANCINI, 73 - 1º ANDAR       ",          ,                                                  ,MORUMBI                       ,56791-600,SAO PAULO                                                   ,3550308.0
8657,SUL AMERICA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.                                                                                                                           ,RIO DE JANEIRO                                              ,"RUA DA QUITANDA, 80                     ",          ,6º ANDAR                                          ,CENTRO                        ,20091-005,RIO DE JANEIRO                                              ,3304557.0
8658,C6 CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.                                                                                                                                                     ,MATRIZ                                                      ,"AVENIDA NOVE DE JULHO, 3186             ",          ,                                                  ,JARDIM PAULISTA               ,01406-000,SAO PAULO                                                   ,3550308.0
8659,QI SOCIEDADE DE CRÉDITO DIRETO S.A.                                                                                                                                                                     ,MATRIZ                                                      ,"AV. BRIGADEIRO FARIA LIMA, 2391         ",          ,"1º ANDAR, CJ. 12                                  ",JARDIM PAULISTANO             ,01452-000,SAO PAULO                                                   ,3550308.0
8660,J.P. MORGAN CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A.                                                                                                                                              ,MATRIZ                                                      ,"AV BRIG FARIA LIMA, 3729, 14 ANDAR -    ",          ,PARTE                                             ,ITAIM BIBI                    ,45389-050,SAO PAULO                                                   ,3550308.0
8661,FAIR CORRETORA DE CAMBIO S.A.                                                                                                                                                                           ,MATRIZ                                                      ,"ALAMEDA SANTOS, 1800                    ",          ,"9º, 10º, 11º E 12º ANDARES                        ",CERQUEIRA CESAR               ,01418-102,SAO PAULO                                                   ,3550308.0
8662,FAIR CORRETORA DE CAMBIO S.A.                                                                                                                                                                           ,PORTO ALEGRE/RS                                             ,"R GENERAL CAMARA, 236, 11 ANDAR         ",          ,                                                  ,CENTRO                        ,90010-230,PORTO ALEGRE                                                ,4314902.0
8663,CREDITAS SOCIEDADE DE CRÉDITO DIRETO S.A.                                                                                                                                                               ,MATRIZ                                                      ,"AVENIDA ENGENHEIRO LUIS CARLOS BERRINI, ",          ,105  12 ANDAR                                     ,                              ,04570-030,SAO PAULO                                                   ,3550308.0
8664,"MERCANTIL FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                                                                                                                                       ",MATRIZ                                                      ,RUA MINISTRO OROZIMBO NONATO            ,          ,15 ANDAR                                          ,VILA DA SERRA                 ,34006-053,NOVA LIMA                                                   ,3144805.0
8665,BANCO DE LA NACION ARGENTINA                                                                                                                                                                            ,MATRIZ                                                      ,"AV. PAULISTA, 2319                      ",          ,                                                  ,CERQUEIRA CESAR               ,13113-000,SAO PAULO                                                   ,3550308.0
8666,CITIBANK N.A.                                                                                                                                                                                           ,MATRIZ                                                      ,AV. PAULISTA                            ,1111,                                                  ,                              ,01311-920,SAO PAULO                                                   ,3550308.0
8667,BANCO CEDULA S.A.                                                                                                                                                                                       ,MATRIZ                                                      ,"RUA GONCALVES DIAS,65/67                ",          ,                                                  ,CENTRO                        ,20050-030,RIO DE JANEIRO                                              ,3304557.0
8668,"BRB - CREDITO, FINANCIAMENTO E INVESTIMENTO S/A                                                                                                                                                         ",MATRIZ                                                      ,SBS QUADRA 01 BLOCO E                   ,          ,ED.BRASILIA-10.ANDAR                              ,CENTRO                        ,70072-900,BRASILIA                                                    ,5300108.0
8669,BANCO BRADESCO BERJ S.A.                                                                                                                                                                                ,MATRIZ                                                      ,NÚCLEO CIDADE DE DEUS                   ,          ,"PRÉDIO PRATA, 4º ANDAR                            ",VILA YARA                     ,06029-900,OSASCO                                                      ,3534401.0
8670,BANCO J.P. MORGAN S.A.                                                                                                                                                                                  ,MATRIZ                                                      ,"AV BRIGADEIRO FARIA LIMA, 3729          ",          ,"6ºPTE, 7º, 10ºPTE, 11º, 12ºPTE, 13ºPTE, 14º E 15º ",ITAIM BIBI                    ,04538-905,SAO PAULO                                                   ,3550308.0
8671,BANCO J.P. MORGAN S.A.                                                                                                                                                                                  ,RIO DE JANEIRO                                              ,PRAIA DE BOTAFOGO                       ,228,14 ANDAR - SALA 1405 (PARTE)                      ,BOTAFOGO                      ,22250-040,RIO DE JANEIRO                                              ,3304557.0
8672,BANCO NACIONAL DE INVESTIMENTOS S.A.                                                                                                                                                                    ,MATRIZ                                                      ,"AVENIDA RIO BRANCO, 123 - 3. ANDAR      ",          ,(PARTE)                                           ,CENTRO                        ,20040-005,RIO DE JANEIRO                                              ,3304557.0
8673,BANCO LOSANGO S.A. - BANCO MÚLTIPLO                                                                                                                                                                     ,MATRIZ                                                      ,PRAÇA XV DE NOVEMBRO                    ,          ,"11º AND, SLS 1101 E 1102, E 12º AND SL 1201 E SUBS",CENTRO                        ,20010-010,RIO DE JANEIRO                                              ,3304557.0
8674,BANCO XP S.A.                                                                                                                                                                                           ,MATRIZ                                                      ,AVENIDA AFRÂNIO DE MELO FRANCO 290      ,          ,SALA 708                                          ,LEBLON                        ,22430-060,RIO DE JANEIRO                                              ,3304557.0
8675,BANCO CAIXA GERAL - BRASIL S.A.                                                                                                                                                                         ,MATRIZ                                                      ,AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK ,1830,"13- ANDAR, CONJ. 132 - BLOCO 2                    ",ITAIM BIBI                    ,04543-900,SAO PAULO                                                   ,3550308.0
8676,BANCO CITIBANK S.A.                                                                                                                                                                                     ,MATRIZ                                                      ,"AVENIDA PAULISTA, 1111 - 2 ANDAR (PARTE)",          ,                                                  ,BELA VISTA                    ,13119-200,SAO PAULO                                                   ,3550308.0
8677,BANCO CITIBANK S.A.                                                                                                                                                                                     ,RIO DE JANEIRO RJ                                           ,PRAIA DE BOTAFOGO                       ,186,SALA 401                                          ,BOTAFOGO                      ,22250-145,RIO DE JANEIRO                                              ,3304557.0
8678,BANCO CITIBANK S.A.                                                                                                                                                                                     ,RIBEIRAO PRETO (SP)                                         ,AVENIDA WLADIMIR MEIRELLES FERREIRA     ,1660,"11 ANDAR, SALAS 1105, 1106 E 1107                 ",JARDIM BOTANICO               ,14021-630,RIBEIRAO PRETO                                              ,3543402.0
8679,BANCO CITIBANK S.A.                                                                                                                                                                                     ,CURITIBA (PR)                                               ,RUA PASTEUR                             ,463,"CONJUNTO 802, 8º ANDAR                            ",ÁGUA VERDE                    ,80250-104,CURITIBA                                                    ,4106902.0
8680,BANCO CITIBANK S.A.                                                                                                                                                                                     ,CENTRO                                                      ,AVENIDA SAO JOAO _ 674 PARTE            ,          ,                                                  ,CENTRO                        ,12030-000,SAO PAULO                                                   ,3550308.0
8681,BANCO CITIBANK S.A.                                                                                                                                                                                     ,BELO HORIZONTE (MG)                                         ,RUA MATIAS CARDOSO                      ,165,"E Nº 169, SALA 605, COND. ED. COLEN               ",SANTO AGOSTINHO               ,30170-050,BELO HORIZONTE                                              ,3106200.0
8682,BANCO CITIBANK S.A.                                                                                                                                                                                     ,BRASILIA (DF)                                               ,"SHS, QUADRA 6, CONJUNTO A, BLOCO A      ",          ,SALA 107                                          ,ASA SUL                       ,70316-102,BRASILIA                                                    ,5300108.0
8683,BANCO CITIBANK S.A.                                                                                                                                                                                     ,CAMPINAS (SP)                                               ,RUA GUSTAVO ARMBRUST                    ,36,"CONJUNTO 501, ED. 575 NORTE SUL                   ",NOVA CAMPINAS                 ,13092-106,CAMPINAS                                                    ,3509502.0
8684,BANCO CITIBANK S.A.                                                                                                                                                                                     ,PORTO ALEGRE (RS)                                           ,AVENIDA CARLOS GOMES                    ,1672,"E Nº 1696, 2º ANDAR, SALA 201                     ",TRÊS FIGUEIRAS                ,90480-002,PORTO ALEGRE                                                ,4314902.0
8685,BANCO CITIBANK S.A.                                                                                                                                                                                     ,RECIFE (PE)                                                 ,"AV. MARQUES DE OLINDA, 126 - LOJA-PARTE ",          ,"SUBSOLO, TÉRREO E SOBRELOJA                       ",CENTRO                        ,50030-901,RECIFE                                                      ,2611606.0
8686,BANCO CITIBANK S.A.                                                                                                                                                                                     ,SALVADOR                                                    ,"AVENIDA TANCREDO NEVES, 1189            ",          ,LOJA 02                                           ,CAMINHO DAS ARVORES           ,40015-010,SALVADOR                                                    ,2927408.0
8687,BANCO CITIBANK S.A.                                                                                                                                                                                     ,MOEMA                                                       ,"AVENIDA IBIRAPUERA, 2359 E 2365         ",          ,                                                  ,MOEMA                         ,04029-200,SAO PAULO                                                   ,3550308.0
8688,BANCO CITIBANK S.A.                                                                                                                                                                                     ,LAPA                                                        ,"RUA BARÃO DE JUNDIAÍ, 337               ",          ,                                                  ,VILA AUGUSTO                  ,05073-010,SAO PAULO                                                   ,3550308.0
8689,BANCO CITIBANK S.A.                                                                                                                                                                                     ,SAVASSI (MG)                                                ,"AVENIDA CRISTOVAO COLOMBO, 323, 327 E 33",          ,SOBRELOJAS                                        ,SAVASSI                       ,30140-140,BELO HORIZONTE                                              ,3106200.0
8690,BANCO CITIBANK S.A.                                                                                                                                                                                     ,VILA MARIANA_(SP)                                           ,"RUA DOMINGOS DE MORAES, 2422            ",          ,                                                  ,VILA MARIANA                  ,40360-000,SAO PAULO                                                   ,3550308.0
8691,BANCO CITIBANK S.A.                                                                                                                                                                                     ,BATEL - CURITIBA                                            ,RUA PASTEUR N.º 463 LOJA 01             ,          ,                                                  ,BATEL                         ,80250-080,CURITIBA                                                    ,4106902.0
8692,BANCO CITIBANK S.A.                                                                                                                                                                                     ,MANGABEIRAS                                                 ,AV AFONSO PENA 4360                     ,          ,                                                  ,MANGABEIRAS                   ,30130-009,BELO HORIZONTE                                              ,3106200.0
8693,BANCO CITIBANK S.A.                                                                                                                                                                                     ,MOOCA                                                       ,PRAÇA SÍLVIO ROMERO                     ,66,"68, PARTE                                         ",TATUAPÉ                       ,03323-000,SAO PAULO                                                   ,3550308.0
8694,BANCO CITIBANK S.A.                                                                                                                                                                                     ,CHÁCARA FLORA                                               ,"RUA VERBO DIVINO, 1105                  ",          ,                                                  ,CHÁCARA SANTO ANTONIO         ,04719-002,SAO PAULO                                                   ,3550308.0
8695,BANCO CITIBANK S.A.                                                                                                                                                                                     ,ALPHAVILLE                                                  ,"ALAMEDA RIO NEGRO, Nº 585               ",          ,EDIFÍCIO JAÇARI - BLOCO A - LOJA 02               ,                              ,00000-000,BARUERI                                                     ,3505708.0
8696,BANCO CITIBANK S.A.                                                                                                                                                                                     ,SANTANA                                                     ,"AV. BRAZ LEME, 2346 E 2338              ",          ,LOJA 2  LOJA 3 E TERREO                           ,SANTANA                       ,02022-020,SAO PAULO                                                   ,3550308.0
8697,BANCO CITIBANK S.A.                                                                                                                                                                                     ,LAGO SUL                                                    ,SHI/SUL QI 11 BLOCO K                   ,          ,LOJA 5                                            ,                              ,00000-000,BRASILIA                                                    ,5300108.0
8698,BANCO CITIBANK S.A.                                                                                                                                                                                     ,INDIANÓPOLIS                                                ,AVENIDA IBIRAPUERA                      ,2359,"2365, PARTE                                       ",MOEMA                         ,04063-006,SAO PAULO                                                   ,3550308.0
8699,BANCO CITIBANK S.A.                                                                                                                                                                                     ,GUARULHOS                                                   ,"RUA PAULO FACCINI, 1429                 ",          ,TERREO E MEZANINO                                 ,                              ,07111-000,GUARULHOS                                                   ,3518800.0
8700,BANCO CITIBANK S.A.                                                                                                                                                                                     ,AGENCIA ANALIA FRANCO                                       ,PRAÇA SILVIO ROMERO                     ,66,66/68 PARTE                                       ,TATUAPÉ                       ,03323-000,SAO PAULO                                                   ,3550308.0
8701,BANCO CITIBANK S.A.                                                                                                                                                                                     ,CASTELO                                                     ,AVENIDA RIO BRANCO                      ,245,"LOJA E SUBSOLO, PARTE                             ",CENTRO                        ,20040-917,RIO DE JANEIRO                                              ,3304557.0
8702,BANCO CITIBANK S.A.                                                                                                                                                                                     ,SUMARÉ                                                      ,"AVENIDA SUMARÉ, 1099                    ",          ,33479023,                              ,05016-110,SAO PAULO                                                   ,3550308.0
