,nome_instituicao,nome_agencia,endereco,numero,complemento,bairro,cep,municipio,municipio_ibge
2431,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,IRIRIU                                                      ,R.IRIRIU                                ,1667,                                                  ,IRIRIU                        ,89227-015,JOINVILLE                                                   ,4209102.0
2432,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,CENTRO CULTURAL                                             ,"AV.JOAO PINHEIRO,584                    ",          ,                                                  ,LOURDES                       ,30130-188,BELO HORIZONTE                                              ,3106200.0
2433,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,COHAB ANIL                                                  ,"AV.JERONIMO DE ALBUQUERQUE,34           ",          ,                                                  ,COHAB-ANIL                    ,65051-210,SAO LUIS                                                    ,2111300.0
2434,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,GECEX PORTO ALEGRE                                          ,AV CARLOS GOMES 222 - 14 ANDAR          ,          ,ED. OPUS ONE                                      ,AUXILIADORA                   ,90480-000,PORTO ALEGRE                                                ,4314902.0
2435,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,AV.DOMINGOS FERREIRA                                        ,"AV.ENG.DOMINGOS FERREIRA,2180           ",          ,                                                  ,BOA VIAGEM                    ,51111-020,RECIFE                                                      ,2611606.0
2436,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,PARQUE TOMAS EDSON                                          ,"AV.MARQUES DE SAO VICENTE,575           ",          ,PQ.TOMAS EDSON                                    ,VARZEA DA BARRA FUNDA         ,01139-001,SAO PAULO                                                   ,3550308.0
2437,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,FLORIANO PEIXOTO                                            ,"AV.FLORIANO PEIXOTO,117                 ",          ,                                                  ,CENTRO                        ,38400-100,UBERLANDIA                                                  ,3170206.0
2438,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,IGUACU                                                      ,"AV.BRASIL,380                           ",          ,                                                  ,IGUACU                        ,35162-036,IPATINGA                                                    ,3131307.0
2439,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,GECEX OPERACOES BHZ                                         ,"R.RIO DE JANEIRO,750                    ",          ,4.ANDAR                                           ,CENTRO                        ,30160-041,BELO HORIZONTE                                              ,3106200.0
2440,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,LAGUNA CARAPA                                               ,"R.MARGARINO ALVES BRANDAO,551           ",          ,                                                  ,CENTRO                        ,79920-000,LAGUNA CARAPA                                               ,5005251.0
2441,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,IPORA DO OESTE                                              ,"R.SAO JOSE,150                          ",          ,                                                  ,CENTRO                        ,89899-000,IPORA DO OESTE                                              ,4207650.0
2442,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,BENFICA-MG                                                  ,"PCA.CEL.JEREMIAS GARCIA,S/N             ",          ,                                                  ,BENFICA                       ,36090-280,JUIZ DE FORA                                                ,3136702.0
2443,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,UNIV.FEDERAL DO PA                                          ,"R.AUGUSTO CORREA,1                      ",          ,"CAMPUS UFPA,PREDIO DO VADIAO                      ",GUAMA                         ,66075-110,BELEM                                                       ,1501402.0
2444,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,AV.CAP.MOR.GOUVEIA                                          ,"AV.CAP.MOR GOUVEIA,2966                 ",          ,                                                  ,LAGOA NOVA                    ,59063-400,NATAL                                                       ,2408102.0
2445,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,CHAPADAO DO CEU                                             ,"AV.NETUNO,253 SUL                       ",          ,"QD.32,LOTE 9                                      ",CENTRO                        ,75828-000,CHAPADAO DO CEU                                             ,5205471.0
2446,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,DR.MAURICIO CARDOSO                                         ,"R.MAL.DEODORO,1000                      ",          ,                                                  ,CENTRO                        ,98925-000,DOUTOR MAURICIO CARDOSO                                     ,4306734.0
